Nama,ID Produk,Rentang GMV,Status daftar produk,GMV,GMV dari LIVE penjual,GMV LIVE penjual,GMV tidak langsung dari LIVE penjual,GMV dari video penjual,GMV video penjual,GMV tidak langsung dari video penjual,GMV dari kreator,GMV dari LIVE kreator,GMV LIVE afiliasi,GMV tidak langsung dari LIVE kreator,GMV dari video afiliasi,GMV video Afiliasi,GMV tidak langsung dari video kreator,GMV kartu produk penjual,Pesanan,Pesanan SKU,Produk terjual,Est. pembeli,AOV (pesanan SKU),Impresi produk,Klik produk,CTR,Jumlah tambahkan ke keranjang,Persentase tambahkan ke keranjang,CTOR (pesanan SKU),Impresi produk unik,Klik unik,CTR unik,Pembeli yang menambahkan ke keranjang,Persentase ATC unik,CTOR unik (pesanan SKU),GMV dengan pajak,Pajak,GMV (dengan subsidi dari TikTok),Shipping fees,Pengembalian dana,Produk yang dikembalikan dananya,Pembeli yang dikembalikan dananya,Impresi produk tab Toko,Klik produk tab Toko,Klik produk tab Toko unik,Est. pembeli tab Toko,CTR tab Toko,CTOR tab Toko (SKU),GMV tab Toko,Produk terjual dari tab Toko,Perolehan GMV,GMV.1,GMV tidak langsung,Pesanan teratribusi,Pesanan SKU teratribusi,Pesanan SKU.1,Pesanan SKU tidak langsung,Produk terjual dengan atribusi,Produk terjual.1,Produk yang terjual secara tidak langsung,Est. pembeli.1,AOV (pesanan SKU teratribusi),Jumlah LIVE baru,Impresi produk.1,Klik produk.1,CTR.1,Jumlah tambahkan ke keranjang.1,Persentase tambahkan ke keranjang.1,CTOR (pesanan SKU).1,Impresi produk unik.1,Klik unik.1,CTR unik.1,Pembeli yang menambahkan ke keranjang.1,Persentase ATC unik.1,CTOR unik (pesanan SKU).1,Perolehan GMV.1,GMV.2,GMV tidak langsung.1,Pesanan teratribusi.1,Pesanan SKU teratribusi.1,Pesanan SKU.2,Pesanan SKU tidak langsung.1,Produk terjual dengan atribusi.1,Produk terjual.2,Produk yang terjual secara tidak langsung.1,Est. pembeli.2,AOV (pesanan SKU teratribusi).1,Jumlah video baru,Impresi produk.2,Klik produk.2,CTR.2,Jumlah tambahkan ke keranjang.2,Persentase tambahkan ke keranjang.2,CTOR (pesanan SKU).2,Impresi produk unik.2,Klik unik.2,CTR unik.2,Pembeli yang menambahkan ke keranjang.2,Persentase ATC unik.2,CTOR unik (pesanan SKU).2,Perolehan GMV.2,GMV dari LIVE,GMV LIVE afiliasi.1,GMV tidak langsung dari LIVE kreator.1,GMV dari video,GMV video Afiliasi.1,GMV tidak langsung dari video kreator.1,Pesanan teratribusi.2,Pesanan SKU teratribusi.2,Produk terjual dengan atribusi.2,Est. pembeli.3,AOV (pesanan SKU teratribusi).2,promoting_creators_metric_name_short_ui,Jumlah LIVE baru.1,Jumlah video baru.1,Impresi produk.3,Klik produk.3,CTR.3,Jumlah tambahkan ke keranjang.3,Persentase tambahkan ke keranjang.3,CTOR (pesanan SKU).3,Impresi produk unik.3,Klik unik.3,CTR unik.3,Pembeli yang menambahkan ke keranjang.3,Persentase ATC unik.3,CTOR unik (pesanan SKU).3,Impresi produk (LIVE),Klik produk (LIVE),CTR (LIVE),Jumlah tambahkan ke keranjang (LIVE),Tambahkan ke keranjang (LIVE),CTOR (pesanan SKU) (LIVE),Impresi produk unik (LIVE),Klik unik (LIVE),CTR unik (LIVE),Pengguna ATC (LIVE),Persentase ATC unik (LIVE),CTOR unik (SKU) (LIVE),Impresi produk (video),Klik produk (video),CTR (video),Jumlah tambahkan ke keranjang (video),Tambahkan ke keranjang (video),CTOR (pesanan SKU) (video),Impresi produk unik (video),Klik unik (video),CTR unik (video),Pengguna ATC (video),Persentase ATC unik (video),CTOR unik (SKU) (video),Perolehan GMV.3,GMV.3,GMV tidak langsung.2,Pesanan teratribusi.3,Pesanan SKU teratribusi.3,Pesanan SKU.3,Pesanan SKU tidak langsung.2,Produk terjual dengan atribusi.3,Produk terjual.3,Produk yang terjual secara tidak langsung.2,Est. pembeli.4,AOV (pesanan SKU teratribusi).3,Impresi produk.4,Klik produk.4,CTR.4,Jumlah tambahkan ke keranjang.4,Persentase tambahkan ke keranjang.4,CTOR (pesanan SKU).4,Impresi produk unik.4,Klik unik.4,CTR unik.4,Pembeli yang menambahkan ke keranjang.4,Persentase ATC unik.4,CTOR unik (pesanan SKU).4
Tang Snap Ring 7inch STI STE BTI BTE Lurus Tutup Tang Circlip Lurus Tekan Tutup Dikemas secara individual,1734432056654464509,GMV & produk terjual = 0,Aktif,Rp361.743,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp55.853,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp305.890,6,6,6,6,Rp60.290,3663,140,3.82%,10,7.14%,4.29%,3107,111,3.57%,9,8.11%,5.41%,Rp361.743,Rp0,Rp473.900,Rp79.157,Rp0,0,0,2117,79,63,5,3.73%,6.33%,Rp300.953,5,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,16,214,3,1.40%,0,0.00%,0.00%,191,3,1.57%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp55.853,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,1,1,1,1,Rp55.853,2,0,2,403,38,9.43%,3,7.89%,2.63%,360,26,7.22%,2,7.69%,3.85%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,399,38,9.52%,3,7.89%,0.00%,356,26,7.30%,2,7.69%,0.00%,Rp305.890,Rp305.890,Rp0,5,5,5,0,5,5,0,5,Rp61.178,3046,99,3.25%,7,7.07%,5.05%,2582,84,3.25%,7,8.33%,5.95%
PROMO MESIN LAS 450W IWA MMA IGBT INVERTER 120A LAS LISTRIK 120 A WELDING MACHINE HEMAT LISTRIK,1733180930203551229,GMV & produk terjual = 0,Aktif,Rp357.800,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp357.800,1,1,1,1,Rp357.800,1100,76,6.91%,0,0.00%,1.32%,996,68,6.83%,0,0.00%,1.47%,Rp357.800,Rp0,Rp437.800,Rp60.000,Rp357.800,1,1,481,21,21,0,4.37%,0.00%,Rp0,0,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,0,0,0,0,Rp0,1,0,1,272,36,13.24%,0,0.00%,0.00%,251,31,12.35%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,260,35,13.46%,0,0.00%,0.00%,247,30,12.15%,0,0.00%,0.00%,Rp357.800,Rp357.800,Rp0,1,1,1,0,1,1,0,1,Rp357.800,828,40,4.83%,0,0.00%,2.50%,748,38,5.08%,0,0.00%,2.63%
GERGAJI KAYU GOROK KAYU 18 in POTONG KAYU SUPER TAJAM - Graji Tangan Hand Saw,1729637642717070845,produk terjual ≥1,Aktif,Rp349.371,Rp0,Rp0,Rp0,Rp109.769,Rp35.886,Rp73.883,Rp203.716,Rp0,Rp0,Rp0,Rp127.902,Rp35.886,Rp92.016,Rp35.886,10,10,10,9,Rp34.937,4779,174,3.64%,9,5.17%,5.75%,4110,150,3.65%,9,6.00%,6.00%,Rp349.371,Rp0,Rp444.699,Rp90.994,Rp62.980,2,2,2421,62,51,6,2.56%,11.29%,Rp241.110,7,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp109.769,Rp35.886,Rp73.883,3,3,1,2,3,1,2,3,Rp36.590,0,396,7,1.77%,0,0.00%,42.86%,377,7,1.86%,0,0.00%,42.86%,Rp203.716,Rp0,Rp0,Rp0,Rp127.902,Rp35.886,Rp92.016,6,6,6,5,Rp33.953,4,2,2,1168,70,5.99%,0,0.00%,8.57%,926,64,6.91%,0,0.00%,7.81%,6,0,0.00%,0,0.00%,0.00%,3,0,0.00%,0,0.00%,0.00%,1042,67,6.43%,0,0.00%,5.97%,839,62,7.39%,0,0.00%,4.84%,Rp35.886,Rp35.886,Rp0,1,1,1,0,1,1,0,1,Rp35.886,3216,97,3.02%,9,9.28%,1.03%,2772,79,2.85%,9,11.39%,1.27%
Gunting Holo Tang Rivet / Gunting Baja & Tang Ripet 1 Paket Hand Riverter + Gunting Baja Ringan,1733121545064842749,GMV & produk terjual = 0,Aktif,Rp341.338,Rp0,Rp0,Rp0,Rp227.612,Rp175.740,Rp51.872,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp113.726,6,6,6,6,Rp56.890,2571,66,2.57%,0,0.00%,9.09%,2253,55,2.44%,0,0.00%,10.91%,Rp341.338,Rp0,Rp432.238,Rp91.000,Rp0,0,0,1682,49,40,5,2.91%,10.20%,Rp284.475,5,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1,4,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0,0.00%,0.00%,Rp227.612,Rp175.740,Rp51.872,4,4,3,1,4,3,1,4,Rp56.903,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,0,0,0,0,Rp0,3,1,2,762,29,3.81%,0,0.00%,0.00%,662,23,3.47%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,732,29,3.96%,0,0.00%,0.00%,644,23,3.57%,0,0.00%,0.00%,Rp113.726,Rp113.726,Rp0,2,2,2,0,2,2,0,2,Rp56.863,1805,37,2.05%,0,0.00%,5.41%,1627,33,2.03%,0,0.00%,6.06%
Mata Gerinda Potong Kayu TCT Saw Blade Multi Cutter 4 In 24T,1729614649824478717,produk terjual ≥1,Aktif,Rp333.494,Rp25.952,Rp25.952,Rp0,Rp257.979,Rp257.979,Rp0,Rp49.563,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,11,11,15,11,Rp30.318,8881,329,3.70%,11,3.34%,3.34%,6703,281,4.19%,10,3.56%,3.91%,Rp333.494,Rp0,Rp548.785,Rp238.212,Rp41.700,1,1,2985,98,87,3,3.28%,3.06%,Rp68.248,3,Rp25.952,Rp25.952,Rp0,1,1,1,0,1,1,0,1,Rp25.952,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp257.979,Rp257.979,Rp0,8,8,8,0,12,12,0,8,Rp32.247,0,56,2,3.57%,0,0.00%,400.00%,2,0,0.00%,0,0.00%,0.00%,Rp49.563,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,2,2,2,2,Rp24.782,1,1,0,7374,287,3.89%,11,3.83%,0.70%,5473,245,4.48%,10,4.08%,0.82%,285,6,2.11%,1,16.67%,0.00%,229,5,2.18%,1,20.00%,0.00%,4337,193,4.45%,5,2.59%,0.00%,2767,158,5.71%,4,2.53%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1450,40,2.76%,0,0.00%,0.00%,1260,35,2.78%,0,0.00%,0.00%
Mesin Gerinda Tangan 4 Inch 600W/220V Bonus Mata Gurinda Angle Grinder Multifucttion Sertifikasi K3L Material Berkualitas,1731362651466728957,produk terjual ≥1,Aktif,Rp332.985,Rp0,Rp0,Rp0,Rp332.985,Rp332.985,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,2,2,2,2,Rp166.492,7166,365,5.09%,13,3.56%,0.55%,5784,301,5.20%,11,3.65%,0.66%,Rp332.985,Rp0,Rp428.635,Rp69.000,Rp0,0,0,5077,233,192,0,4.59%,0.00%,Rp0,0,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1,237,6,2.53%,0,0.00%,0.00%,202,3,1.49%,0,0.00%,0.00%,Rp332.985,Rp332.985,Rp0,2,2,2,0,2,2,0,2,Rp166.492,0,4562,284,6.23%,11,3.87%,0.70%,3588,232,6.47%,9,3.88%,0.86%,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,0,0,0,0,Rp0,1,0,1,625,35,5.60%,0,0.00%,0.00%,561,32,5.70%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,599,35,5.84%,0,0.00%,0.00%,542,32,5.90%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1742,40,2.30%,2,5.00%,0.00%,1565,38,2.43%,2,5.26%,0.00%
Ellka Air Duster Gun Semprotan Angin Pembersih Debu Tembakan Angin Kompresor,1729952737324599805,produk terjual ≥1,Aktif,Rp320.817,Rp0,Rp0,Rp0,Rp27.000,Rp0,Rp27.000,Rp239.817,Rp0,Rp0,Rp0,Rp162.105,Rp162.105,Rp0,Rp54.000,11,11,12,11,Rp29.165,2944,65,2.21%,2,3.08%,16.92%,2558,50,1.95%,2,4.00%,22.00%,Rp320.817,Rp0,Rp484.466,Rp174.448,Rp26.260,1,1,1801,32,24,5,1.78%,15.63%,Rp158.712,6,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp27.000,Rp0,Rp27.000,1,1,0,1,1,0,1,1,Rp27.000,0,74,1,1.35%,0,0.00%,100.00%,64,1,1.56%,0,0.00%,100.00%,Rp239.817,Rp0,Rp0,Rp0,Rp162.105,Rp162.105,Rp0,8,8,9,8,Rp29.977,1,0,1,444,16,3.60%,0,0.00%,50.00%,345,13,3.77%,0,0.00%,61.54%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,423,16,3.78%,0,0.00%,37.50%,331,13,3.93%,0,0.00%,46.15%,Rp54.000,Rp54.000,Rp0,2,2,2,0,2,2,0,2,Rp27.000,2426,48,1.98%,2,4.17%,4.17%,2160,36,1.67%,2,5.56%,5.56%
"Siku Meter Penggaris Siku Tukang Besi Angle Square Steel  12"" 30 cm Termurah Berkualitas Penggaris Siku Tukang Flourish 30 CM",1729630034922997245,produk terjual ≥1,Aktif,Rp313.798,Rp0,Rp0,Rp0,Rp209.005,Rp209.005,Rp0,Rp49.758,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp55.035,15,15,15,14,Rp20.920,4824,191,3.96%,15,7.85%,7.85%,3684,145,3.94%,13,8.97%,9.66%,Rp313.798,Rp0,Rp484.463,Rp193.707,Rp113.322,5,4,2922,114,90,12,3.90%,11.40%,Rp276.291,13,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp209.005,Rp209.005,Rp0,10,10,10,0,10,10,0,9,Rp20.900,0,1427,96,6.73%,5,5.21%,10.42%,896,67,7.48%,5,7.46%,13.43%,Rp49.758,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,2,2,2,2,Rp24.879,0,0,0,671,21,3.13%,0,0.00%,9.52%,410,13,3.17%,0,0.00%,15.38%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,666,21,3.15%,0,0.00%,0.00%,409,13,3.18%,0,0.00%,0.00%,Rp55.035,Rp55.035,Rp0,3,3,3,0,3,3,0,3,Rp18.345,2718,72,2.65%,10,13.89%,4.17%,2168,50,2.31%,8,16.00%,6.00%
Meteran Tanah Tancap 30M 50M Meteran Gantung 30 50 Meter Wilmer,1729736176203302397,GMV & produk terjual = 0,Aktif,Rp313.689,Rp0,Rp0,Rp0,Rp200.091,Rp125.517,Rp74.574,Rp36.188,Rp0,Rp0,Rp0,Rp36.188,Rp36.188,Rp0,Rp77.410,8,8,8,7,Rp39.211,3065,63,2.06%,4,6.35%,12.70%,2675,54,2.02%,4,7.41%,12.96%,Rp313.689,Rp0,Rp448.851,Rp135.000,Rp74.021,2,2,1864,42,35,5,2.25%,14.29%,Rp236.279,6,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp200.091,Rp125.517,Rp74.574,5,5,3,2,5,3,2,4,Rp40.018,0,177,4,2.26%,0,0.00%,125.00%,159,3,1.89%,0,0.00%,133.33%,Rp36.188,Rp0,Rp0,Rp0,Rp36.188,Rp36.188,Rp0,1,1,1,1,Rp36.188,1,0,1,699,19,2.72%,0,0.00%,5.26%,615,16,2.60%,0,0.00%,6.25%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,632,17,2.69%,0,0.00%,5.88%,558,15,2.69%,0,0.00%,6.67%,Rp77.410,Rp77.410,Rp0,2,2,2,0,2,2,0,2,Rp38.705,2189,40,1.83%,4,10.00%,5.00%,1955,37,1.89%,4,10.81%,5.41%
NEWW Paket Hemat 2 Item Bor Listrik 10 mm Gerinda Tangan 4 in Mikayo,1729636374070527485,GMV & produk terjual = 0,Aktif,Rp310.979,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp310.979,Rp0,Rp0,Rp0,Rp310.979,Rp310.979,Rp0,Rp0,1,1,1,1,Rp310.979,1290,50,3.88%,2,4.00%,2.00%,1093,37,3.39%,2,5.41%,2.70%,Rp310.979,Rp0,Rp330.979,Rp15.000,Rp310.979,1,1,622,15,15,1,2.41%,6.67%,Rp310.979,1,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,2,77,7,9.09%,0,0.00%,0.00%,55,3,5.45%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,28,0,0.00%,0,0.00%,0.00%,22,0,0.00%,0,0.00%,0.00%,Rp310.979,Rp0,Rp0,Rp0,Rp310.979,Rp310.979,Rp0,1,1,1,1,Rp310.979,2,2,0,450,12,2.67%,0,0.00%,8.33%,397,12,3.02%,0,0.00%,8.33%,122,3,2.46%,0,0.00%,0.00%,113,3,2.65%,0,0.00%,0.00%,305,5,1.64%,0,0.00%,20.00%,263,5,1.90%,0,0.00%,20.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,735,31,4.22%,2,6.45%,0.00%,627,22,3.51%,2,9.09%,0.00%
Paket 2 Mesin Bor Electric Tembok Besi Kayu dan Mesin Gerinda Tangan Angle Grinda Potong Poles Amplas,1731679286802417149,produk terjual ≥1,Aktif,Rp310.191,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp310.191,Rp310.191,Rp310.191,Rp0,Rp0,Rp0,Rp0,Rp0,1,1,1,1,Rp310.191,4961,79,1.59%,5,6.33%,1.27%,4532,63,1.39%,4,6.35%,1.59%,Rp310.191,Rp0,Rp412.071,Rp60.000,Rp0,0,0,598,12,11,0,2.01%,0.00%,Rp0,0,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,3,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp310.191,Rp310.191,Rp310.191,Rp0,Rp0,Rp0,Rp0,1,1,1,1,Rp310.191,5,5,3,4204,43,1.02%,2,4.65%,2.33%,3809,33,0.87%,2,6.06%,3.03%,3851,28,0.73%,2,7.14%,3.57%,3532,22,0.62%,2,9.09%,4.55%,343,13,3.79%,0,0.00%,0.00%,273,11,4.03%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,752,36,4.79%,3,8.33%,0.00%,585,23,3.93%,2,8.70%,0.00%
"CAMEL TANG GEGEP 9"" / TANG KAKAK TUA / GEGEP / TANG POTONG KAWAT / TANG CATUT MURAH",1729962390327495165,produk terjual ≥1,Aktif,Rp293.972,Rp0,Rp0,Rp0,Rp105.918,Rp23.136,Rp82.782,Rp188.054,Rp0,Rp0,Rp0,Rp85.547,Rp85.547,Rp0,Rp0,5,5,5,5,Rp58.794,3376,82,2.43%,3,3.66%,6.10%,3009,74,2.46%,3,4.05%,6.76%,Rp293.972,Rp0,Rp393.782,Rp127.461,Rp125.643,2,2,2046,47,41,1,2.30%,2.13%,Rp23.136,1,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp105.918,Rp23.136,Rp82.782,3,3,1,2,3,1,2,3,Rp35.306,0,499,19,3.81%,0,0.00%,15.79%,422,14,3.32%,0,0.00%,21.43%,Rp188.054,Rp0,Rp0,Rp0,Rp85.547,Rp85.547,Rp0,2,2,2,2,Rp94.027,8,7,1,383,16,4.18%,0,0.00%,12.50%,347,16,4.61%,0,0.00%,12.50%,184,3,1.63%,0,0.00%,0.00%,168,3,1.79%,0,0.00%,0.00%,183,13,7.10%,0,0.00%,7.69%,164,13,7.93%,0,0.00%,7.69%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,2493,47,1.89%,3,6.38%,0.00%,2223,45,2.02%,3,6.67%,0.00%
Penggaris Siku Multifungsi Sudut 90 Derajat Mistar Triangle Ruler Pasekon Penggaris Tukang Aluminium,1729714623947704829,produk terjual ≥1,Aktif,Rp291.892,Rp0,Rp0,Rp0,Rp100.231,Rp54.331,Rp45.900,Rp26.260,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp165.401,11,11,12,11,Rp26.536,11371,406,3.57%,30,7.39%,2.71%,9678,358,3.70%,29,8.10%,3.07%,Rp291.892,Rp0,Rp436.997,Rp150.781,Rp54.836,2,2,8221,279,248,8,3.39%,2.87%,Rp196.199,8,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp100.231,Rp54.331,Rp45.900,3,3,2,1,4,2,2,3,Rp33.410,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp26.260,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,1,1,1,1,Rp26.260,0,0,0,2355,83,3.52%,1,1.20%,1.20%,1828,71,3.88%,1,1.41%,1.41%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,2330,83,3.56%,1,1.20%,0.00%,1816,71,3.91%,1,1.41%,0.00%,Rp165.401,Rp165.401,Rp0,7,7,7,0,7,7,0,7,Rp23.629,9016,323,3.58%,29,8.98%,2.17%,7860,286,3.64%,28,9.79%,2.45%
"FUJIYAMA Mata  Circular Saw 7 inch Circular Saw Blade 7"" inch mata gergaji putar TCT",1730479076544972285,GMV & produk terjual = 0,Aktif,Rp278.923,Rp0,Rp0,Rp0,Rp0,Rp0,Rp0,Rp128.574,Rp0,Rp0,Rp0,Rp83.932,Rp37.230,Rp46.702,Rp150.349,6,6,6,6,Rp46.487,4035,229,5.68%,5,2.18%,2.62%,3157,181,5.73%,4,2.21%,3.31%,Rp278.923,Rp0,Rp363.323,Rp110.000,Rp91.344,2,2,2814,151,121,4,5.37%,2.65%,Rp197.051,4,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,3,0,0.00%,0,0.00%,0.00%,3,0,0.00%,0,0.00%,0.00%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp128.574,Rp0,Rp0,Rp0,Rp83.932,Rp37.230,Rp46.702,3,3,3,3,Rp42.858,3,3,0,1023,68,6.65%,4,5.88%,4.41%,841,55,6.54%,3,5.45%,5.45%,104,5,4.81%,0,0.00%,0.00%,94,4,4.26%,0,0.00%,0.00%,857,63,7.35%,3,4.76%,3.17%,703,51,7.25%,3,5.88%,3.92%,Rp150.349,Rp150.349,Rp0,3,3,3,0,3,3,0,3,Rp50.116,3009,161,5.35%,1,0.62%,1.86%,2448,133,5.43%,1,0.75%,2.26%
"Paket Lengkap 3 Barang Yukido Palu 8 Oz, Geraji 16 In, Meteran 3M - Paket Tukang Bangunan Isi 3",1730803472753853949,GMV & produk terjual = 0,Aktif,Rp274.506,Rp0,Rp0,Rp0,Rp134.924,Rp0,Rp134.924,Rp69.791,Rp0,Rp0,Rp0,Rp69.791,Rp0,Rp69.791,Rp69.791,4,4,4,4,Rp68.626,6347,189,2.98%,9,4.76%,2.12%,5327,160,3.00%,8,5.00%,2.50%,Rp274.506,Rp0,Rp369.969,Rp99.000,Rp67.266,1,1,3327,96,80,3,2.89%,3.13%,Rp207.240,3,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,49,902,9,1.00%,0,0.00%,0.00%,770,8,1.04%,0,0.00%,0.00%,Rp134.924,Rp0,Rp134.924,2,2,0,2,2,0,2,2,Rp67.462,0,1,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0,0.00%,0.00%,Rp69.791,Rp0,Rp0,Rp0,Rp69.791,Rp0,Rp69.791,1,1,1,1,Rp69.791,4,1,3,1079,60,5.56%,0,0.00%,1.67%,927,55,5.93%,0,0.00%,1.82%,9,1,11.11%,0,0.00%,0.00%,8,1,12.50%,0,0.00%,0.00%,1007,58,5.76%,0,0.00%,1.72%,868,53,6.11%,0,0.00%,1.89%,Rp69.791,Rp69.791,Rp0,1,1,1,0,1,1,0,1,Rp69.791,4365,120,2.75%,9,7.50%,0.83%,3653,97,2.66%,8,8.25%,1.03%
Aeji 10 Meter Tali Tambang Tali PP Monofilament 6mm 8mm 10mm 12mm Putih Titik Biru Kuat Tebal,1729753832619148797,produk terjual ≥1,Aktif,Rp274.490,Rp0,Rp0,Rp0,Rp180.820,Rp129.986,Rp50.834,Rp93.670,Rp0,Rp0,Rp0,Rp93.670,Rp93.670,Rp0,Rp0,6,6,10,4,Rp45.748,6095,210,3.45%,9,4.29%,2.86%,4924,162,3.29%,8,4.94%,2.47%,Rp274.490,Rp0,Rp356.605,Rp97.115,Rp223.248,8,3,2937,71,58,1,2.42%,1.41%,Rp129.986,5,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,Rp180.820,Rp129.986,Rp50.834,3,3,1,2,7,5,2,2,Rp60.273,0,4,0,0.00%,0,0.00%,0.00%,4,0,0.00%,0,0.00%,0.00%,Rp93.670,Rp0,Rp0,Rp0,Rp93.670,Rp93.670,Rp0,3,3,3,2,Rp31.223,0,0,0,2544,140,5.50%,5,3.57%,2.14%,1668,103,6.18%,4,3.88%,1.94%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,2509,140,5.58%,5,3.57%,2.14%,1638,103,6.29%,4,3.88%,1.94%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,3547,70,1.97%,4,5.71%,0.00%,3275,62,1.89%,4,6.45%,0.00%
